<<<<<<< HEAD
photo_id,photo_url,photo_image_url,photo_description_clean,photo_location_country,photo_location_city,stats_views,stats_downloads,ai_description_clean,ai_primary_landmark_name,keyword_list,description_source
216n_hbm5HU,https://unsplash.com/photos/216n_hbm5HU,https://images.unsplash.com/photo-1573550076225-a631ae8dee3e,,,,771758,1790,orange tabby cat climbing on green pine tree,,"['animal', 'cat', 'kitten', 'mammal', 'manx', 'pet', 'plant']",ai_only
akVOtDCRubM,https://unsplash.com/photos/akVOtDCRubM,https://images.unsplash.com/photo-1575053317490-cc4d5c7d8f86,,,,438828,1491,brown sand,,"['desert', 'dune', 'nature', 'outdoors', 'rug', 'sand', 'soil']",ai_only
mn68nV1V5J0,https://unsplash.com/photos/mn68nV1V5J0,https://images.unsplash.com/photo-1577317973057-124a2ae35da2,,,,156967,1010,gray and brown mountains,,"['cliff', 'nature', 'ocean', 'outdoors', 'promontory', 'rock', 'sea', 'sea waves', 'water']",ai_only
pKCCZkeiG-s,https://unsplash.com/photos/pKCCZkeiG-s,https://images.unsplash.com/photo-1575758807821-2a8e3f53f8bb,,,,152795,810,person reaching for a bird perched on wooden rail at daytime,,"['animal', 'bird', 'dove', 'finger', 'human', 'mountain', 'nature', 'outdoors', 'person', 'pigeon', 'wood']",ai_only
-r-YJ-6rhxQ,https://unsplash.com/photos/-r-YJ-6rhxQ,https://images.unsplash.com/photo-1575980087016-80dd790b57f6,color in the dark,France,Boulogne-sur-Mer,260081,2032,yellow and white jellyfish,,"['animal', 'bee', 'honey bee', 'insect', 'invertebrate', 'jellyfish', 'sea life']",both
g6QdT27sCK0,https://unsplash.com/photos/g6QdT27sCK0,https://images.unsplash.com/photo-1576185314066-072b406de9cd,,,,486788,1539,green cactus plants,,"['cactus', 'food', 'fruit', 'pineapple', 'plant']",ai_only
37asHHaTc_E,https://unsplash.com/photos/37asHHaTc_E,https://images.unsplash.com/photo-1575551933601-319633351b46,cold frosty morning in the countryside,,,248104,1051,sun rays coming through trees and field,,"['abies', 'conifer', 'fir', 'frost', 'ice', 'land', 'nature', 'outdoors', 'plant', 'snow', 'tree', 'vegetation']",both
jMmxzz5ladY,https://unsplash.com/photos/jMmxzz5ladY,https://images.unsplash.com/photo-1576691374579-c61b0d27c54a,,,,489127,1313,grayscale photography of man holding liquid filled plastic bag by tree,,"['apparel', 'building', 'child', 'clothing', 'coat', 'countryside', 'dress', 'face', 'fashion', 'female', 'forest', 'girl', 'grass', 'grove', 'human', 'kid', 'land', 'man', 'nature', 'outdoors', 'overcoat', 'person', 'photo', 'photography', 'plant', 'portrait', 'rural', 'shelter', 'smile', 'sunlight', 'tree', 'vegetation', 'woman', 'woodland']",ai_only
iw6Z9qKSS2k,https://unsplash.com/photos/iw6Z9qKSS2k,https://images.unsplash.com/photo-1578983754681-83bbdfb586a0,,,,1227660,12792,white ice,,"['animal', 'aquatic', 'coral reef', 'land', 'nature', 'ocean', 'outdoors', 'reef', 'sea', 'sea life', 'underwater', 'water']",ai_only
wyZi9MVqEdQ,https://unsplash.com/photos/wyZi9MVqEdQ,https://images.unsplash.com/photo-1592300254375-9cb152e00e57,more on ig baptx zw,Suisse,Bourg-Saint-Pierre,10740646,21252,green and brown mountains near body of water under white clouds during daytime,Great St Bernard Pass,"['building', 'coast', 'housing', 'ice', 'lake', 'land', 'landscape', 'mountain', 'mountain range', 'nature', 'ocean', 'outdoors', 'peak', 'plant', 'promontory', 'scenery', 'sea', 'shoreline', 'slope', 'tree', 'water']",both
7hEXd9kYPCY,https://unsplash.com/photos/7hEXd9kYPCY,https://images.unsplash.com/photo-1591768575198-88dac53fbd0a,happy and cute pug wearing a multicolor t shirt on a white background,United States,Los Angeles,1755673,17851,fawn pug wearing red and white striped shirt,,"['animal', 'apparel', 'canine', 'clothing', 'dog', 'mammal', 'pet', 'pug']",both
ZVDyT7K39G0,https://unsplash.com/photos/ZVDyT7K39G0,https://images.unsplash.com/photo-1591795741155-03bd2065944c,power of sk gafoss in iceland,Iceland,,609651,4840,birds flying over snow covered pine trees,,"['aerial view', 'aircraft', 'airplane', 'animal', 'astronomy', 'bird', 'cloud', 'fog', 'landscape', 'mist', 'nature', 'outdoors', 'outer space', 'river', 'scenery', 'sky', 'space', 'transportation', 'universe', 'vehicle', 'water', 'waterfall', 'weather']",both
Gg7uKdHFb_c,https://unsplash.com/photos/Gg7uKdHFb_c,https://images.unsplash.com/34/BA1yLjNnQCI1yisIZGEi_2013-07-16_1922_IMG_9873.jpg,alpine mountains under a clear sky,,,32985120,265306,landscape photography mountain range with snow,Athabasca Glacier,"['crest', 'geographical feature', 'glacier', 'ice', 'landform', 'mountain', 'mountain range', 'mountainous landforms', 'nature', 'outdoors', 'peak', 'snow']",both
1XEON7CaTJ8,https://unsplash.com/photos/1XEON7CaTJ8,https://images.unsplash.com/photo-1417220754135-a2e934fcafe1,beach with rocky shore,,,2672648,11306,sea with cliffs during daytime,,"['beach', 'cloud', 'coast', 'nature', 'ocean', 'outdoors', 'sand', 'sea', 'shore', 'sky', 'soil', 'water', 'weather']",both
NHoD8zj2bDk,https://unsplash.com/photos/NHoD8zj2bDk,https://images.unsplash.com/photo-1414751410795-c157c7c253d5,,,,1049349,4452,sunset over the horizon,,"['beach', 'coast', 'horizon', 'nature', 'ocean', 'outdoors', 'sea', 'shore', 'water']",ai_only
DqYw4KMZYOE,https://unsplash.com/photos/DqYw4KMZYOE,https://images.unsplash.com/reserve/mW95rWmYSRe4nTMVaRaW_French-Mountain.jpg,trees roof silhouette night,,,6918188,36711,silhouette of trees during nighttime,,"['abies', 'astronomy', 'atmospheric phenomenon', 'conifer', 'darkness', 'fir', 'flora', 'night', 'outdoors', 'outer space', 'plant', 'sky', 'space', 'starry sky', 'tree', 'universe']",both
HYA9Ak06qR8,https://unsplash.com/photos/HYA9Ak06qR8,https://images.unsplash.com/photo-1418985227304-f32df7d84e39,,,,8077277,88947,city during nighttime,,"['canyon', 'crest', 'dawn', 'dusk', 'landform', 'mountain', 'mountain range', 'mountainous landforms', 'nature', 'outdoors', 'plateau', 'red sky', 'sky', 'sunrise', 'sunset', 'valley']",ai_only
56D1nt0dxhk,https://unsplash.com/photos/56D1nt0dxhk,https://images.unsplash.com/reserve/GBjvTQTou2D0KTHomMoA_IMG_1568.JPG,on my way back to brisbane from sydney,Australia,Gold Coast,3316746,20810,airplane wing,,"['air travel', 'aircraft', 'airline', 'airplane', 'bomber', 'dawn', 'dusk', 'horizon', 'nature', 'outdoors', 'red sky', 'sky', 'sunrise', 'sunset', 'transportation', 'warplane']",both
YpY--zR8BC0,https://unsplash.com/photos/YpY--zR8BC0,https://images.unsplash.com/uploads/14130813513515ea083f9/563efd7a,,,,1079175,4582,grass beside of water,,"['habitat', 'land', 'marsh', 'nature', 'outdoors', 'pond', 'reflection', 'river', 'swamp', 'water']",ai_only
F-t5EpfQNpk,https://unsplash.com/photos/F-t5EpfQNpk,https://images.unsplash.com/photo-1437624155766-b64bf17eb2ce,,Malaysia,Kuala Lumpur,6232597,63683,grayscale photo of raindrops,,"['atmospheric phenomenon', 'black and white', 'monochrome photography', 'nature', 'water']",ai_only
WnB-gKIt1qo,https://unsplash.com/photos/WnB-gKIt1qo,https://images.unsplash.com/photo-1437777972681-19a5205f2c1b,,United States,Kapaa,856588,6220,rock formation with body of water,,"['cave', 'geographical feature', 'landform', 'nature', 'rock', 'sea cave', 'wood']",ai_only
x6RO8lNSzpo,https://unsplash.com/photos/x6RO8lNSzpo,https://images.unsplash.com/photo-1441934639004-c5c9fa005c29,,,,1801186,11769,sunset and silhouette of trees,,"['afterglow', 'horizon', 'outdoors', 'red sky at morning', 'sky', 'sun', 'sunset']",ai_only
YWhRvW7KRJY,https://unsplash.com/photos/YWhRvW7KRJY,https://images.unsplash.com/photo-1441906551230-a0352e3dbcd9,pink flower cluster,United States,Miami,2811816,17242,closeup photography of red petaled flowers,,"['blossom', 'flora', 'flower', 'geranium', 'green', 'nature', 'plant']",both
2FCVdvwqmGg,https://unsplash.com/photos/2FCVdvwqmGg,https://images.unsplash.com/photo-1442483221814-59f7d8b22739,,New Zealand,Wellington,2972184,21187,aerial photography of city beside body of water during daytime,Wellington,"['aerial photography', 'aerial view', 'atmospheric phenomenon', 'building', 'city', 'coast', 'conifer', 'downtown', 'flora', 'harbor', 'house', 'housing', 'landscape', 'nature', 'outdoors', 'photography', 'plant', 'port', 'scenery', 'town', 'tree', 'urban', 'villa', 'waterfront', 'yew']",ai_only
q75_AMCgsZU,https://unsplash.com/photos/q75_AMCgsZU,https://images.unsplash.com/photo-1445953993297-28dff00088f3,,United States,Big Bend National Park,5636303,57987,gray concrete road under sky full of stars,,"['astronomical object', 'astronomy', 'atmosphere', 'galaxy', 'milky way', 'nebula', 'night', 'outdoors', 'outer space', 'phenomenon', 'space', 'spiral galaxy', 'universe']",ai_only
NXB51Lc1RdM,https://unsplash.com/photos/NXB51Lc1RdM,https://images.unsplash.com/photo-1448305016557-ca10bc06b19b,no it s patrick,Ireland,,2671708,18439,starfish on sand,,"['animal', 'echinoderm', 'invertebrate', 'sand', 'sea life', 'starfish']",both
uCVoEZSw_HE,https://unsplash.com/photos/uCVoEZSw_HE,https://images.unsplash.com/photo-1667337104773-6cb54f6dd102,a girl underwater shot with the iphone 14 pro,,,377802,2204,a person under water,,"['adult', 'animal', 'aquatic', 'face', 'female', 'head', 'mammal', 'nature', 'outdoors', 'person', 'sea life', 'water', 'woman']",both
fykDm2wYvPw,https://unsplash.com/photos/fykDm2wYvPw,https://images.unsplash.com/photo-1670438664399-4bb9d60ff74b,,,,637734,2943,a large rocky cliff,,"['aerial view', 'beach', 'coast', 'nature', 'outdoors', 'scenery', 'sea', 'shoreline', 'water']",ai_only
9yOAzAsxmU8,https://unsplash.com/photos/9yOAzAsxmU8,https://images.unsplash.com/photo-1675110972343-67d9aaaea396,a car with headlights driving on a road during sunset near vestrahorn mountain in iceland,Iceland,,657026,4393,a body of water with a mountain in the background,,"['car', 'lake', 'landscape', 'nature', 'outdoors', 'scenery', 'sky', 'vehicle', 'water', 'wilderness']",both
1GoQ1k9b-9Q,https://unsplash.com/photos/1GoQ1k9b-9Q,https://images.unsplash.com/photo-1680017534357-2edd2e803341,,,,1099521,6651,the sun is setting over the ocean with clouds in the sky,,"['cloud', 'horizon', 'nature', 'outdoors', 'scenery', 'sky']",ai_only
Fyr_9iyz8Vg,https://unsplash.com/photos/Fyr_9iyz8Vg,https://images.unsplash.com/reserve/D0Ib5j36RymFSNPX5X1m_darkocean.jpg,monochrome sunrays and sea,,,1888087,8518,body of water during daytime,,"['black and white', 'cloud', 'horizon', 'sea', 'sky', 'sunlight']",both
xk6QxqsNsfQ,https://unsplash.com/photos/xk6QxqsNsfQ,https://images.unsplash.com/photo-1413745126057-2c431084f6f0,light blue lake behind a forest,,,1445746,10944,aerial photography of mountains near body of water,,"['cloud', 'cumulus', 'geographical feature', 'habitat', 'landscape', 'mountainous landforms', 'nature', 'outdoors', 'scenery', 'sky', 'weather']",both
wPVqVETFREE,https://unsplash.com/photos/wPVqVETFREE,https://images.unsplash.com/uploads/1412801581473b14d277b/9e1bface,neighborhood palm trees,,,1256756,5189,landscape photography of village,,"['arecaceae', 'arecales', 'beach', 'building', 'coast', 'flora', 'housing', 'nature', 'ocean', 'outdoors', 'palm family', 'palm tree', 'plant', 'sea', 'sunlight', 'tree', 'vacation', 'water', 'woody plant']",both
ZgTnXdboOO8,https://unsplash.com/photos/ZgTnXdboOO8,https://images.unsplash.com/photo-1431532896025-5871edf5eadd,white blossom,,,2669144,14799,snow covered tree close up photography,,"['animal', 'coral reef', 'frost', 'nature', 'ocean', 'outdoors', 'reef', 'sea', 'sea life', 'season', 'tree', 'water', 'winter']",both
jOR1DxGeWU4,https://unsplash.com/photos/jOR1DxGeWU4,https://images.unsplash.com/photo-1435777902907-6ff2bafa0829,,,,2842637,19360,aurora borealis,,"['aurora', 'nature', 'night', 'outdoors', 'phenomenon']",ai_only
JUCM3Q9mPAE,https://unsplash.com/photos/JUCM3Q9mPAE,https://images.unsplash.com/photo-1437322422404-54b40b01e406,,United States,Carmel-by-the-Sea,1209839,4805,brown and gray trees,,"['conifer', 'flora', 'frost', 'ice', 'nature', 'outdoors', 'plant', 'snow', 'tree', 'winter']",ai_only
qoHZc56m8eY,https://unsplash.com/photos/qoHZc56m8eY,https://images.unsplash.com/photo-1437355467762-67ead28c1fb3,,Canada,London,1511454,5583,brown plant field,,"['ecosystem', 'flora', 'grass', 'nature', 'plant', 'reed', 'sky', 'tree']",ai_only
XCyO3VSHZ8w,https://unsplash.com/photos/XCyO3VSHZ8w,https://images.unsplash.com/photo-1440100358119-b8721ec8a0db,rocky shoreline,Israel,Deir al-Asad,1338259,7270,sands and rocks near body of water,,"['beach', 'coast', 'nature', 'ocean', 'outdoors', 'sea', 'shore', 'sky', 'water']",both
mGfiYDUpYrI,https://unsplash.com/photos/mGfiYDUpYrI,https://images.unsplash.com/photo-1441661292604-830533546086,tropical tulum coast,Mexico,Tulum,7212300,13687,brown wooden pier with gazebo on beach shore,,"['beach', 'coast', 'habitat', 'landscape', 'nature', 'ocean', 'outdoors', 'scenery', 'sea', 'shore', 'water']",both
jx_kpR7cvDc,https://unsplash.com/photos/jx_kpR7cvDc,https://images.unsplash.com/photo-1443806798002-651c462956ff,,,,5801575,25329,yorkshire terrier lying on grass covered ground,,"['animal', 'australian terrier', 'canine', 'dog', 'dog breed', 'flora', 'grass', 'mammal', 'pet', 'plant', 'terrier', 'vertebrate']",ai_only
WSFY8g2CJDo,https://unsplash.com/photos/WSFY8g2CJDo,https://images.unsplash.com/photo-1448222993383-a2fff2914d27,macro of cat s head,Thailand,Bangkok,6920308,39690,shallow focus photography of gray kitten,,"['abyssinian', 'animal', 'cat', 'close up', 'mammal', 'pet', 'vertebrate', 'whiskers']",both
ntX0UtRAMTY,https://unsplash.com/photos/ntX0UtRAMTY,https://images.unsplash.com/photo-1461900441348-292db18849d7,,Canada,Montréal,2810018,11932,two white and black birds perching on rock,,"['animal', 'beak', 'bird', 'booby', 'fauna', 'puffin', 'vertebrate']",ai_only
-RghPLU4wAw,https://unsplash.com/photos/-RghPLU4wAw,https://images.unsplash.com/photo-1463405346908-1e464eea5f3b,,Spain,La Orotava,3998590,36088,aerial shot of shore,,"['beach', 'cliff', 'coast', 'geographical feature', 'landform', 'nature', 'ocean', 'outdoors', 'promontory', 'sea', 'water']",ai_only
vvjWoI-r2v0,https://unsplash.com/photos/vvjWoI-r2v0,https://images.unsplash.com/photo-1565575726815-69ab316d5af4,red castle utah 2019,,,625070,1719,black folding chair beside blue tent near body of wate r,,"['camping', 'leisure activities', 'mountain tent', 'tent']",both
jab28lxz9RY,https://unsplash.com/photos/jab28lxz9RY,https://images.unsplash.com/photo-1564971444205-34e1c36f77ef,hidden falls,,,1170801,4665,waterfalls on focus photography,,"['abies', 'animal', 'christmas tree', 'fir', 'fish', 'nature', 'ornament', 'outdoors', 'plant', 'river', 'tree', 'water', 'waterfall']",both
HUGWwCoOuz0,https://unsplash.com/photos/HUGWwCoOuz0,https://images.unsplash.com/photo-1562081011-c7eac38f00f6,,New Zealand,,733572,4413,starry night,,"['astronomy', 'milky way', 'nature', 'nebula', 'night', 'outdoors', 'outer space', 'space', 'universe']",ai_only
BjYD9PvnOHc,https://unsplash.com/photos/BjYD9PvnOHc,https://images.unsplash.com/photo-1566598578758-d4f24d544c29,dune crest in moroccan erg chebbi,Morocco,,1297443,5450,a lone bird is flying over a sand dune,,"['desert', 'dune', 'nature', 'outdoors', 'sand', 'soil']",both
XQhnWsv7SUk,https://unsplash.com/photos/XQhnWsv7SUk,https://images.unsplash.com/photo-1569394679973-c56925f9d30d,,,,2489923,12833,purple fruits,,"['egg', 'food', 'fruit', 'grapes', 'plant', 'plum']",ai_only
4tw78ktweeM,https://unsplash.com/photos/4tw78ktweeM,https://images.unsplash.com/photo-1568990966085-e53951e67fd9,waterfalls,,,423695,14409,waterfalls surrounded by green trees during daytime,Plitvice Lakes National Park,"['nature', 'outdoors', 'river', 'scenery', 'water', 'waterfall']",both
SAKLELG-pO8,https://unsplash.com/photos/SAKLELG-pO8,https://images.unsplash.com/photo-1567270671170-fdc10a5bf831,,Russia,Kazan,7177953,66515,white and gray kitten on bed,,"['animal', 'cat', 'kitten', 'mammal', 'manx', 'pet']",ai_only
TfM9PYTlXd8,https://unsplash.com/photos/TfM9PYTlXd8,https://images.unsplash.com/photo-1569447298789-80401c5ae19b,,,,749022,1497,grey concrete statue,,"['animal', 'antelope', 'antler', 'art', 'deer', 'elk', 'mammal', 'sculpture', 'wildlife']",ai_only
Fkvto-ziiYs,https://unsplash.com/photos/Fkvto-ziiYs,https://images.unsplash.com/photo-1567923964194-b3329e967a8e,lioness in nairobi national park,Kenya,Nairobi,936489,3503,lioness near trees,,"['animal', 'jaguar', 'leopard', 'lion', 'mammal', 'panther', 'wildlife']",both
qk6CnpKNmVw,https://unsplash.com/photos/qk6CnpKNmVw,https://images.unsplash.com/photo-1569628433122-a3208a311b05,,,,276764,1905,woman standing beside concrete and wooden wall,,"['apparel', 'clothing', 'face', 'female', 'hair', 'human', 'person', 'sari', 'silk', 'wood']",ai_only
imX1IGh-A9Q,https://unsplash.com/photos/imX1IGh-A9Q,https://images.unsplash.com/photo-1569366184698-5293dfd0047d,,,,154141,2941,clear blue sky,,"['astronomy', 'land', 'milky way', 'nature', 'nebula', 'night', 'outdoors', 'outer space', 'space', 'universe']",ai_only
9FvZfRKKfH8,https://unsplash.com/photos/9FvZfRKKfH8,https://images.unsplash.com/photo-1572315831029-5d6f20e0035d,natural beauty,,,3530479,18753,green plant,,"['green', 'leaf', 'plant', 'veins']",both
i-toUzanTJE,https://unsplash.com/photos/i-toUzanTJE,https://images.unsplash.com/photo-1572525904847-a5cd6b9af651,coral reef marsa shagra red sea egypt,,,1250443,5202,colorful corals under the sea,,"['animal', 'aquatic', 'coral reef', 'fish', 'invertebrate', 'nature', 'ocean', 'outdoors', 'reef', 'sea', 'sea life', 'sponge animal', 'water']",both
RFSIWpa5hcM,https://unsplash.com/photos/RFSIWpa5hcM,https://images.unsplash.com/photo-1571015289103-5b1f5dec68f9,,,,519629,775,person standing near black car,,"['abies', 'automobile', 'car', 'conifer', 'fir', 'human', 'machine', 'person', 'plant', 'road', 'spruce', 'transportation', 'tree', 'vehicle', 'wheel']",ai_only
tHTKMBMmidA,https://unsplash.com/photos/tHTKMBMmidA,https://images.unsplash.com/photo-1570354848266-35e1f4cd5ca5,autumnal woodland tree tunnel,,,134812,988,green leaf trees,,"['arbour', 'forest', 'garden', 'grove', 'jungle', 'land', 'nature', 'outdoors', 'path', 'patio', 'pergola', 'plant', 'porch', 'road', 'tree', 'vegetation', 'woodland']",both
a5kLiYV4ymM,https://unsplash.com/photos/a5kLiYV4ymM,https://images.unsplash.com/photo-1570913230986-8405973f613b,a girl walking with a bucket of apples,,,309847,1450,woman wearing black pants,,"['apparel', 'boot', 'clothing', 'coat', 'female', 'footwear', 'girl', 'hood', 'human', 'jacket', 'outdoors', 'pants', 'person', 'plant', 'shoe', 'sweater', 'sweatshirt']",both
WFTW5yFkxTM,https://unsplash.com/photos/WFTW5yFkxTM,https://images.unsplash.com/photo-1572936773862-7e13d432c582,flower arrangement in a glass jar,,,1535076,7941,pink roses in vase,,"['art', 'blossom', 'floral design', 'flower', 'flower arrangement', 'flower bouquet', 'graphics', 'ikebana', 'jar', 'ornament', 'pattern', 'plant', 'pottery', 'rose', 'vase']",both
CDEzcrsXMyw,https://unsplash.com/photos/CDEzcrsXMyw,https://images.unsplash.com/photo-1574483078879-902cfe0948e0,,,,710644,1675,white tulip flower plant,,"['arecaceae', 'blossom', 'flower', 'palm tree', 'plant', 'tree']",ai_only
4M_dTCG6wG8,https://unsplash.com/photos/4M_dTCG6wG8,https://images.unsplash.com/photo-1602273591728-a238567b9d78,,Japan,Fujinomiya,184313,1449,snow covered mountain near body of water during daytime,,"['ice', 'landscape', 'mountain', 'mountain range', 'nature', 'ocean', 'outdoors', 'panoramic', 'peak', 'photo', 'photography', 'scenery', 'sea', 'shoreline', 'snow', 'water']",ai_only
6XQmccxXHQs,https://unsplash.com/photos/6XQmccxXHQs,https://images.unsplash.com/photo-1605982590167-a3c6e0586225,,France,Le Dévoluy,323900,1833,snow covered mountain during daytime,,"['ice', 'mountain', 'mountain range', 'nature', 'outdoors', 'peak', 'slope', 'snow', 'winter']",ai_only
R5QCKs8K5Vw,https://unsplash.com/photos/R5QCKs8K5Vw,https://images.unsplash.com/photo-1613422659908-80ee920bfde0,icy shores and complementary winds that goes through your bones,Sverige,,14934084,31441,rocky shore with water waves during daytime,,"['glacier', 'ice', 'mountain', 'nature', 'ocean', 'outdoors', 'promontory', 'rock', 'sea', 'snow', 'water']",both
PtX9kmolACQ,https://unsplash.com/photos/PtX9kmolACQ,https://images.unsplash.com/photo-1625212175444-d89b42a34eaf,,,,156128,1729,yellow flower near lake and mountain during daytime,,"['blossom', 'flower', 'lake', 'land', 'mountain', 'nature', 'outdoors', 'plant', 'tree', 'vegetation', 'water', 'wilderness']",ai_only
H-wqkwnokYo,https://unsplash.com/photos/H-wqkwnokYo,https://images.unsplash.com/photo-1642271544954-b1fcce2b8cd3,,France,Megève,490756,5004,a cabin in the middle of a snowy mountain,,"['building', 'cabin', 'countryside', 'house', 'housing', 'hut', 'ice', 'mountain', 'mountain range', 'nature', 'outdoors', 'peak', 'rural', 'scenery', 'shelter', 'slope', 'snow']",ai_only
hqzyUL3M21k,https://unsplash.com/photos/hqzyUL3M21k,https://images.unsplash.com/photo-1646928980056-50d15f727970,aerial shot of the jungle roads ubud bali indonesia,Indonesia,,316939,4692,a winding road in the middle of a forest,,"['aerial view', 'jungle', 'land', 'landscape', 'nature', 'outdoors', 'plant', 'rainforest', 'scenery', 'tree', 'vegetation']",both
-2Ck_Sgzvmw,https://unsplash.com/photos/-2Ck_Sgzvmw,https://images.unsplash.com/photo-1613751521417-7953f4bf31a4,,,,802448,13908,black and white abstract painting,,"['art', 'ice', 'nature', 'outdoors', 'painting', 'snow', 'water']",ai_only
sTSLUPneLlM,https://unsplash.com/photos/sTSLUPneLlM,https://images.unsplash.com/photo-1612193011365-105eeed40377,,United States,,271053,3078,a narrow slot in the side of a canyon,,"['cave', 'human', 'nature', 'outdoors', 'person']",ai_only
W4K5oZoRTcA,https://unsplash.com/photos/W4K5oZoRTcA,https://images.unsplash.com/photo-1614892093084-c7cb5a593669,,Canada,Vancouver,483151,3536,black and white clouds over the sea,,"['coast', 'dawn', 'dusk', 'land', 'nature', 'ocean', 'outdoors', 'porthole', 'red sky', 'scenery', 'sea', 'shoreline', 'sky', 'sunset', 'water', 'window']",ai_only
Ji1UmOF9hbY,https://unsplash.com/photos/Ji1UmOF9hbY,https://images.unsplash.com/photo-1627736683454-b577d2ad97d7,breaking waves at abereiddy in wales,United Kingdom,Abereiddy,306039,2970,aerial view of ocean waves on shore during daytime,,"['aerial view', 'animal', 'fish', 'glacier', 'ice', 'landscape', 'mountain', 'nature', 'ocean', 'outdoors', 'scenery', 'sea', 'sea waves', 'snow', 'water']",both
88fzs2u5tBU,https://unsplash.com/photos/88fzs2u5tBU,https://images.unsplash.com/photo-1636280794396-83cff13dadc6,lava flow fagradalsfjall volcano iceland,IJsland,,370326,5093,a lava flow in the middle of a mountain,,"['eruption', 'lava', 'mountain', 'nature', 'outdoors', 'volcano']",both
kijkNELFD8I,https://unsplash.com/photos/kijkNELFD8I,https://images.unsplash.com/photo-1644007969973-0c05db085e78,,,,289334,4319,the sun is setting over a snowy hill,,"['desert', 'dune', 'nature', 'outdoors', 'photo', 'photography', 'sand', 'sky', 'soil', 'sunrise']",ai_only
IO9gxLXqfhE,https://unsplash.com/photos/IO9gxLXqfhE,https://images.unsplash.com/photo-1645004018989-dc681042d193,,,,398704,2938,the night sky is filled with stars above a body of water,,"['astronomy', 'coast', 'landscape', 'nature', 'night', 'ocean', 'outdoors', 'outer space', 'panoramic', 'scenery', 'sea', 'shoreline', 'space', 'starry sky', 'universe', 'water']",ai_only
SD0OiLT-Nkg,https://unsplash.com/photos/SD0OiLT-Nkg,https://images.unsplash.com/photo-1648245618518-bd40ab4fa9a3,,Iceland,,151671,3132,a large mountain covered in clouds and sand,,"['desert', 'dune', 'land', 'landscape', 'mountain', 'mountain range', 'nature', 'outdoors', 'panoramic', 'photo', 'photography', 'sand', 'scenery', 'soil']",ai_only
J6I6Zkd2sOg,https://unsplash.com/photos/J6I6Zkd2sOg,https://images.unsplash.com/photo-1649482410693-8bcfcfd9a557,,,,224450,1373,the sun is setting over the mountains with smoke coming out of it,,"['dawn', 'dusk', 'nature', 'outdoors', 'plant', 'red sky', 'sky', 'sun', 'sunlight', 'sunrise', 'sunset', 'tree']",ai_only
NCbvpHb-drA,https://unsplash.com/photos/NCbvpHb-drA,https://images.unsplash.com/photo-1666054064340-2b70111d8fd3,,Canada,Kananaskis,371045,2540,a statue of a person on a rock,,"['human', 'nature', 'outdoors', 'person', 'plant', 'silhouette', 'sky', 'standing', 'tree']",ai_only
7tM8y1SNg0E,https://unsplash.com/photos/7tM8y1SNg0E,https://images.unsplash.com/photo-1665501341082-2367dd99328e,,,,433175,3692,a lake in a valley,Huascarán National Park,"['aerial view', 'coast', 'land', 'landscape', 'mountain', 'mountain range', 'nature', 'ocean', 'outdoors', 'peak', 'scenery', 'sea', 'shoreline', 'slope', 'tent', 'water', 'wilderness']",ai_only
0QZOCgk10w4,https://unsplash.com/photos/0QZOCgk10w4,https://images.unsplash.com/photo-1542372781736-b2085952aa8c,sometimes you can t control your environment some photographers prefer to shoot in studios for this reason it gives them the power to decide every single aspect of the image they re creating in my opinion there is something beautiful about working alongside nature to create images that express something deeper the relationship between people and the earth who needs expensive lights and studios when you have the beauty of the outdoors that gives something new every time the wind that caused my model s hair to react that way was completely unplanned but it s what made this photo,Switzerland,,1081552,3944,woman in white collared top,,"['apparel', 'clothing', 'coat', 'face', 'female', 'human', 'jacket', 'lab coat', 'long sleeve', 'person', 'photo', 'photography', 'portrait', 'sleeve']",both
aNzyRSIv7fE,https://unsplash.com/photos/aNzyRSIv7fE,https://images.unsplash.com/photo-1543117977-295d766cbbbd,,,,169908,2197,black rock groynes on body of water,,"['beach', 'cloud', 'coast', 'dawn', 'dusk', 'loch', 'mountain', 'nature', 'ocean', 'outdoors', 'plant', 'promontory', 'red sky', 'reflection', 'reservoir', 'river', 'rock', 'scenery', 'sea', 'shoreline', 'sky', 'sunset', 'tree', 'water', 'wilderness']",ai_only
7OLN3JOPRYI,https://unsplash.com/photos/7OLN3JOPRYI,https://images.unsplash.com/photo-1542570945-494cd4a258be,my adopted dog,,,276511,1817,adult white siberian husky on stone road mountain and mountains at the distance,,"['animal', 'canine', 'dirt road', 'dog', 'gravel', 'ground', 'mammal', 'mountain', 'mountain range', 'nature', 'outdoors', 'pet', 'plateau', 'road', 'rubble']",both
REeXDhZsWtY,https://unsplash.com/photos/REeXDhZsWtY,https://images.unsplash.com/photo-1541437914323-1dd72510d65a,,Canada,St. John's,1937073,8574,person wearing bear costume,,"['human', 'person', 'phone booth']",ai_only
FemzgBWP7tE,https://unsplash.com/photos/FemzgBWP7tE,https://images.unsplash.com/photo-1544702705-07adde831502,,,,1032309,8227,sunflower field,,"['blossom', 'flower', 'plant', 'sunflower']",ai_only
zRtPCjFUiC8,https://unsplash.com/photos/zRtPCjFUiC8,https://images.unsplash.com/photo-1543897489-b046cc55ef3b,,,,163487,555,girl walking along rough road with mountain view,,"['countryside', 'human', 'nature', 'outdoors', 'person', 'road']",ai_only
